parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
BOR;anjou;21/10/1996;6.0;10.0;31.4;3.5;80.14;13.4857142857143;236.85;6.35;4.12;3.4499999999999886;0.08999999999999986;-0.47999999999999954
SAU;anjou;16/09/1996;1.0;11.0;52.4;0.0;67.57;14.5785714285714;204.5;7.03;3.55;NA;NA;NA
SAU;anjou;23/09/1996;2.0;11.0;29.7;29.5;78.71;13.214285714285701;204.5;6.08;3.3;0.0;-0.9500000000000002;-0.25
SAU;anjou;30/09/1996;3.0;11.0;36.6;13.5;78.14;15.7785714285714;206.8;5.47;2.78;2.3000000000000114;-0.6100000000000003;-0.52
SAU;anjou;07/10/1996;4.0;11.0;36.9;11.0;77.93;12.6;209.1;5.22;2.41;2.299999999999983;-0.25;-0.36999999999999966
SAU;anjou;14/10/1996;5.0;11.0;23.4;0.5;82.64;14.142857142857098;218.3;5.23;3.23;9.200000000000017;0.010000000000000675;0.8199999999999998
SAU;anjou;21/10/1996;6.0;11.0;31.4;3.5;80.14;13.4857142857143;222.9;5.32;2.9;4.599999999999994;0.08999999999999986;-0.33000000000000007
VAL;anjou;16/09/1996;1.0;12.0;52.4;0.0;67.57;14.5785714285714;209.1;6.62;3.64;NA;NA;NA
VAL;anjou;23/09/1996;2.0;12.0;29.7;29.5;78.71;13.214285714285701;212.4;5.69;3.57;3.3000000000000114;-0.9299999999999997;-0.07000000000000028
VAL;anjou;30/09/1996;3.0;12.0;36.6;13.5;78.14;15.7785714285714;222.9;5.16;2.5;10.5;-0.5300000000000002;-1.0699999999999998
VAL;anjou;07/10/1996;4.0;12.0;36.9;11.0;77.93;12.6;233.4;4.96;2.36;10.5;-0.20000000000000018;-0.14000000000000012
VAL;anjou;14/10/1996;5.0;12.0;23.4;0.5;82.64;14.142857142857098;245.0;4.89;2.95;11.599999999999994;-0.07000000000000028;0.5900000000000003
VAL;anjou;21/10/1996;6.0;12.0;31.4;3.5;80.14;13.4857142857143;251.85;4.8;2.66;6.849999999999994;-0.08999999999999986;-0.29000000000000004
BON;anjou;01/09/1997;1.0;13.0;29.9;22.5;81.14;18.5;170.4;8.13;6.54;NA;NA;NA
BON;anjou;08/09/1997;2.0;13.0;49.3;0.0;75.43;17.1285714285714;191.9;5.88;4.38;21.5;-2.250000000000001;-2.16
BON;anjou;15/09/1997;3.0;13.0;52.0;0.5;72.29;15.6;219.5;5.6;3.62;27.599999999999994;-0.28000000000000025;-0.7599999999999998
BON;anjou;22/09/1997;4.0;13.0;52.1;92.0;65.79;19.121428571428602;244.0;4.35;3.23;24.5;-1.25;-0.3900000000000001
BON;anjou;29/09/1997;5.0;13.0;55.0;0.0;65.5;17.6428571428571;260.1;4.05;2.06;16.100000000000023;-0.2999999999999998;-1.17
BON;anjou;06/10/1997;6.0;13.0;42.2;4.5;74.07;16.8571428571429;271.8;3.4;1.9;11.699999999999989;-0.6499999999999999;-0.16000000000000014
SAU;anjou;01/09/1997;1.0;14.0;29.9;22.5;81.14;18.5;151.5;8.23;7.4;NA;NA;NA
SAU;anjou;08/09/1997;2.0;14.0;49.3;0.0;75.43;17.1285714285714;174.9;6.37;4.9;23.400000000000006;-1.8600000000000003;-2.5
SAU;anjou;15/09/1997;3.0;14.0;52.0;0.5;72.29;15.6;196.5;5.75;4.35;21.599999999999994;-0.6200000000000001;-0.5500000000000007
